tag,genus,species,division,updated,treeID,XTOP,YTOP,ZTOP,zmax,zmean,zsd,zskew,zkurt,zentropy,pzabovezmean,pzabove2,zq5,zq10,zq15,zq20,zq25,zq30,zq35,zq40,zq45,zq50,zq55,zq60,zq65,zq70,zq75,zq80,zq85,zq90,zq95,zpcum1,zpcum2,zpcum3,zpcum4,zpcum5,zpcum6,zpcum7,zpcum8,zpcum9,itot,imax,imean,isd,iskew,ikurt,ipground,ipcumzq10,ipcumzq30,ipcumzq50,ipcumzq70,ipcumzq90,p1th,p2th,p3th,p4th,p5th,pground,n,area
9381,Pseudotsuga,menziesii,Coniferous,2010-03-16,736,481055.2,5456941.78,29.41,29.41,14.532034473752939,7.546822472291125,-0.40763713292276643,2.3829252698731853,0.9085617651892275,50.37868895272916,88.56098197962915,0,0,7.09,9.06,9.84,10.72,11.8,12.862,13.776000000000002,14.69,16.094,17.298000000000002,18.67200000000001,19.96,20.76000000000001,21.66,22.834000000000007,23.84,25.1,11.572622779519332,13.192267502612331,18.782654127481713,34.87460815047022,50.02612330198537,61.54649947753396,74.00731452455591,87.643678160919535,97.62277951933125,2948769,1520,770.1146513449987,271.33185033512956,-0.6096092519164273,3.0603031470902096,12.570092808219293,12.570092808219293,31.368852561865644,51.284451240500694,69.85525146255947,90.0770796220389,78.06215722120659,18.568816923478714,2.8466962653434313,0.47009663097414467,0.05223295899712719,10.733873073909637,3829,129.6701999950411
9382,Pseudotsuga,menziesii,Coniferous,2010-03-16,736,481055.2,5456941.78,29.41,29.41,14.532034473752939,7.546822472291125,-0.40763713292276643,2.3829252698731853,0.9085617651892275,50.37868895272916,88.56098197962915,0,0,7.09,9.06,9.84,10.72,11.8,12.862,13.776000000000002,14.69,16.094,17.298000000000002,18.67200000000001,19.96,20.76000000000001,21.66,22.834000000000007,23.84,25.1,11.572622779519332,13.192267502612331,18.782654127481713,34.87460815047022,50.02612330198537,61.54649947753396,74.00731452455591,87.643678160919535,97.62277951933125,2948769,1520,770.1146513449987,271.33185033512956,-0.6096092519164273,3.0603031470902096,12.570092808219293,12.570092808219293,31.368852561865644,51.284451240500694,69.85525146255947,90.0770796220389,78.06215722120659,18.568816923478714,2.8466962653434313,0.47009663097414467,0.05223295899712719,10.733873073909637,3829,129.6701999950411
9386,Pseudotsuga,menziesii,Coniferous,2010-03-16,620,481057.11,5456951.71,31.75,31.75,16.082381810897438,9.10285583142849,-0.35482761008001695,2.0108143604700417,0.9385904020050484,54.026442307692314,87.23958333333334,0,0,5.41,7.86,9.35,10.5,12.3285,14.344000000000001,15.73,17.225,18.841500000000003,20.29,21.614500000000014,22.57,23.772500000000004,25,26.093500000000006,27.03,28.634499999999996,13.344019234622321,16.97054698457223,25.94670406732118,35.844520136245244,45.381687036666,55.339611300340614,67.88218793828892,80.98577439390904,94.87076738128631,3670772,1578,735.3309294871794,279.01475531147844,-0.34859897101944676,3.0231582207103043,14.056743377142464,14.056743377142464,32.977586186230035,52.121924216486335,71.0690557735539,90.8776954820403,75.72115384615384,21.374198717948715,2.5841346153846154,0.3004807692307693,0.02003205128205128,10.396634615384617,4992,153.75010000302467
9387,Pseudotsuga,menziesii,Coniferous,2010-03-16,511,481058.28,5456960.75,32.59,32.59,17.088546511627907,8.330199487584874,-0.6845017658027207,2.6546642480165996,0.9086640172840045,60.10520487264673,89.42414174972313,0,0.07100000000000024,7.01,9.352000000000002,12.280000000000001,14.99,15.948500000000003,17.144000000000002,18.19,19.03,19.8,20.756000000000004,21.271500000000007,22.047000000000004,22.702500000000008,23.558,24.990000000000002,26.379000000000005,28.5845,10.855718637496539,13.901966214345057,20.271392965937416,27.05621711437275,36.30573248407644,54.1124342287455,75.43616726668513,88.09194129050125,96.67682082525616,2509032,1479,694.6378737541528,261.78510085645934,-0.46655296065054236,2.7080613718340154,10.502576292370923,12.238026458012492,31.123995230032936,49.90849060514174,69.7912979985907,90.07932142754656,72.81284606866002,23.61572535991141,2.96234772978959,0.5260243632336655,0.08305647840531562,8.58250276854928,3612,186.72010000369522
9388,Pseudotsuga,menziesii,Coniferous,2010-03-16,511,481058.28,5456960.75,32.59,32.59,17.088546511627907,8.330199487584874,-0.6845017658027207,2.6546642480165996,0.9086640172840045,60.10520487264673,89.42414174972313,0,0.07100000000000024,7.01,9.352000000000002,12.280000000000001,14.99,15.948500000000003,17.144000000000002,18.19,19.03,19.8,20.756000000000004,21.271500000000007,22.047000000000004,22.702500000000008,23.558,24.990000000000002,26.379000000000005,28.5845,10.855718637496539,13.901966214345057,20.271392965937416,27.05621711437275,36.30573248407644,54.1124342287455,75.43616726668513,88.09194129050125,96.67682082525616,2509032,1479,694.6378737541528,261.78510085645934,-0.46655296065054236,2.7080613718340154,10.502576292370923,12.238026458012492,31.123995230032936,49.90849060514174,69.7912979985907,90.07932142754656,72.81284606866002,23.61572535991141,2.96234772978959,0.5260243632336655,0.08305647840531562,8.58250276854928,3612,186.72010000369522
9237,Pseudotsuga,menziesii,Coniferous,2010-03-16,1326,481224.71,5456903.39,38.22,38.22,20.966699231262012,9.05289210680997,-0.40098988877925945,2.7347508436029293,0.9496954125465726,52.626521460602184,95.65983344010249,2.9330000000000007,8.35,11.290000000000001,13.914000000000005,15.870000000000001,17.259,18.510500000000004,19.602000000000004,20.57,21.51,22.31,23.26,24.38,25.94,27.78,29.124000000000006,30.6,32.837,35.07699999999999,5.702386673073843,9.066154092583695,15.521383950024028,22.825564632388275,37.96251802018261,58.33733781835656,72.3209995194618,84.9591542527631,93.46468044209514,3894556,1448,623.7277386290839,250.40757011364045,-0.3972521571944489,2.3735166744263534,4.012293057283038,10.594224348038647,28.62906580365002,48.101529416960496,68.03810241783658,89.26095811692014,67.76105060858424,28.331197950032035,3.763613068545804,0.1441383728379244,0,3.2511210762331837,6244,250.6007000112633
9225,Pseudotsuga,menziesii,Coniferous,2010-03-16,611,481230.34,5456952.3,29.52,29.52,16.468369144064813,5.89973596682105,-0.2834596841423562,2.905344701094873,0.918092041753872,52.307150405072214,98.13314547375836,7.309000000000001,8.83,9.914000000000001,11.406,12.71,13.524000000000001,14.22,15.280000000000001,16.16,16.69,17.46,18.13,18.827000000000005,19.68,20.42,21.51,23,24.17,25.832,2.149400986610289,4.05214940098661,10.077519379844961,21.317829457364343,37.84355179704017,56.51867512332628,75.8985200845666,87.17406624383369,96.54686398872445,1693157,1402,596.3920394505108,254.4231593149569,-0.24522375341186353,2.2391622033986076,1.5611074460312895,11.742443258362927,31.090442292120578,50.18376913658923,69.06648349798631,88.69195237063072,65.90348714336034,28.495949277914757,5.072208524128214,0.528355054596689,0,1.3737231419513913,2839,107.70020000251029
9081,Pseudotsuga,menziesii,Coniferous,2010-03-16,3515,481300.03,5456757.94,33.17,33.17,19.286267532467534,6.328370979810192,-0.970123683006949,4.6119971241099105,0.8715896602665492,54.36363636363636,96.20779220779221,7.274500000000001,11.899000000000001,14.003500000000003,15.338000000000001,16.46,17.304,18,18.71,19.1805,19.77,20.52,21.274000000000004,21.96,22.61,23.35,24.332000000000004,25.11,26.07,28.410999999999994,3.949077682514939,4.728500909327098,7.040789815536503,12.704598597038192,25.669004936347104,50.792413613925696,73.9672642244739,91.58222915042869,97.01221096388673,2575638,1499,668.9968831168832,267.1215316946223,-0.4082644555356092,2.5557920094144024,4.354882169000458,9.089010179225497,26.888988281738353,47.57322263454725,68.54391028552925,89.67125815040778,72.23376623376623,24.181818181818183,3.3506493506493507,0.2077922077922078,0.025974025974025976,3.74025974025974,3850,215.34040000426563
9071,Pseudotsuga,menziesii,Coniferous,2010-03-16,3283,481308.26,5456775.83,36.13,36.13,26.38828854314003,6.193616514856478,-0.9517464573236982,4.181420694364852,0.8459535792600943,55.23338048090524,99.57567185289957,14.3095,18.423000000000002,20.4995,21.686,22.185000000000002,23.959,24.7055,25.637999999999998,26.39,26.990000000000002,28.1,28.8,29.69,30.181,31.292500000000008,32.004,32.64400000000001,33.64,34.43,0.42462845010615713,0.4953998584571833,2.193913658881812,5.166312809624912,8.846426043878274,19.957537154989385,38.853503184713375,60.65109695682944,84.5718329794763,928868,1267,656.9080622347949,235.0631784012985,-0.7390356897501918,2.7331438762842066,0.24858214514871865,8.357269278304344,27.59563253336319,48.06344927373965,68.10623253250193,88.97485972172579,76.16690240452617,21.57001414427157,1.9801980198019802,0.21216407355021216,0.07072135785007072,0.4243281471004243,1414,107.19060000202616
9069,Pseudotsuga,menziesii,Coniferous,2010-03-16,3404,481297.47000000003,5456766.41,33.33,33.33,22.646747835497838,7.561964404852432,-1.1393986549439374,3.7932414725118355,0.9001708642397251,61.25541125541125,97.45670995670996,7.031000000000001,11.049000000000003,14.491500000000002,17.388,19.2775,20.672000000000004,21.954500000000003,22.868000000000002,23.6815,24.650000000000002,25.627000000000002,26.242000000000004,26.90650000000001,27.45,28.032500000000002,28.63,29.52,30.603,31.3265,2.8695181375203034,4.76448294531673,8.825121819166215,13.156469951272333,18.841364374661612,27.720628045479156,43.692474282620466,62.804547915538706,86.3021115322144,1122295,1496,607.3024891774892,245.6526966649241,-0.40303662798759826,2.373681731837307,1.9607144289157485,9.22716398094975,26.734058335820798,47.832789061699465,68.21308123087067,89.11293376518653,68.61471861471861,27.164502164502164,4.004329004329004,0.21645021645021645,0,2.0562770562770565,1848,118.3623999984771
